"","col"
"Kelly Slater",1
"Joel Parkinson",25
"Owen Wright",2
"Taj Burrow",25
"Adriano de Souza",25
"Michel Bourez",9
"Jordy Smith",13
"Josh Kerr",3
"Julian Wilson",13
"Alejo Muniz",25
"Mick Fanning",13
"Jeremy Flores",5
"Damien Hobgood",13
"Kieren Perrow",25
"Bede Durbidge",25
"Adrian Buchan",13
"Heitor Alves",25
"Brett Simpson",5
"Matt Wilkinson",5
"Taylor Knox",13
"Jadson Andre",13
"Tiago Pires",13
"Freddy Patacchia Jr.",9
"Chris Davidson",9
"Kai Otton",9
"Adam Melling",25
"Daniel Ross",25
"Raoni Monteiro",5
"Travis Logie",3
"C.J. Hobgood",13
"Dusty Payne",13
"Patrick Gudauskas",25
"Cory Lopez",13
"Gabe Kling",25
