"","col"
"Joel Parkinson",1
"Kelly Slater",3
"Mick Fanning",13
"John John Florence",13
"Adriano de Souza",13
"Taj Burrow",13
"Gabriel Medina",9
"Josh Kerr",2
"Julian Wilson",13
"Owen Wright",13
"Jeremy Flores",13
"Jordy Smith",13
"C.J. Hobgood",5
"Adrian Buchan",25
"Michel Bourez",25
"Damien Hobgood",3
"Miguel Pupo",9
"Alejo Muniz",25
"Kieren Perrow",9
"Bede Durbidge",13
"Travis Logie",25
"Kai Otton",25
"Kolohe Andino",13
"Matt Wilkinson",25
"Brett Simpson",25
"Yadin Nicol",5
"Heitor Alves",25
"Tiago Pires",3
"Freddy Patacchia Jr.",25
"Taylor Knox",3
"Adam Melling",25
"Jadson Andre",3
"Patrick Gudauskas",3
"Dusty Payne",3
