"","col"
"Gabriel Medina",1
"Mick Fanning",5
"John John Florence",5
"Kelly Slater",5
"Michel Bourez",3
"Joel Parkinson",9
"Jordy Smith",13
"Adriano de Souza",5
"Taj Burrow",9
"Josh Kerr",25
"Kolohe Andino",3
"Owen Wright",9
"Nat Young",2
"Julian Wilson",13
"Adrian Buchan",13
"Bede Durbidge",13
"Filipe Toledo",9
"Kai Otton",13
"Miguel Pupo",25
"Sebastian Zietz",13
"Freddy Patacchia Jr.",13
"Jadson Andre",25
"Matt Wilkinson",25
"C.J. Hobgood",25
"Alejo Muniz",13
"Aritz Aranburu",25
"Dion Atkinson",25
"Tiago Pires",13
"Mitch Crews",25
"Brett Simpson",25
"Travis Logie",25
"Jeremy Flores",13
"Glenn Hall",13
"Mitch Coleborn",13
