"","col"
"Kelly Slater",1
"Jordy Smith",5
"Mick Fanning",2
"Dane Reynolds",17
"Taj Burrow",3
"Bede Durbidge",5
"Owen Wright",17
"Adrian Buchan",9
"Jeremy Flores",17
"Adriano de Souza",5
"Michel Bourez",9
"Damien Hobgood",3
"Jadson Andre",9
"Kieren Perrow",3
"Chris Davidson",17
"C.J. Hobgood",3
"Taylor Knox",17
"Andy Irons",9
"Freddy Patacchia Jr.",9
"Bobby Martinez",3
"Tiago Pires",9
"Patrick Gudauskas",17
"Brett Simpson",17
"Matt Wilkinson",17
"Joel Parkinson",5
"Dusty Payne",17
"Adam Melling",3
"Daniel Ross",17
"Travis Logie",3
"Kai Otton",17
"Tom Whitaker",17
"Luke Stedman",9
"Roy Powers",9
"Luke Munro",3
"Dean Morrison",3
"Neco Padaratz",17
"Kekoa Bacalso",3
"Ben Dunn",3
"Tanner Gudauskas",17
"Nathan Yeomans",3
"Jay Thompson",3
"Marco Polo",3
"Drew Courtney",17
"Mick Campbell",3
"Blake Thornton",3
