"","col"
"Mick Fanning",1
"Kelly Slater",5
"Joel Parkinson",3
"Jordy Smith",9
"Taj Burrow",9
"Julian Wilson",5
"Kai Otton",5
"Nat Young",25
"Josh Kerr",25
"John John Florence",5
"C.J. Hobgood",25
"Michel Bourez",9
"Adriano de Souza",13
"Gabriel Medina",2
"Filipe Toledo",3
"Sebastian Zietz",13
"Adrian Buchan",13
"Jeremy Flores",13
"Miguel Pupo",13
"Freddy Patacchia Jr.",13
"Bede Durbidge",25
"Matt Wilkinson",25
"Brett Simpson",9
"Adam Melling",25
"Travis Logie",25
"Kolohe Andino",13
"Patrick Gudauskas",13
"Yadin Nicol",25
"Damien Hobgood",25
"Alejo Muniz",13
"Kieren Perrow",13
