"","col"
"Kelly Slater",3
"Jordy Smith",17
"Mick Fanning",9
"Dane Reynolds",9
"Taj Burrow",3
"Bede Durbidge",3
"Owen Wright",9
"Adrian Buchan",5
"Jeremy Flores",3
"Adriano de Souza",9
"Michel Bourez",9
"Damien Hobgood",9
"Jadson Andre",3
"Kieren Perrow",3
"Chris Davidson",17
"C.J. Hobgood",2
"Taylor Knox",3
"Andy Irons",1
"Freddy Patacchia Jr.",5
"Bobby Martinez",3
"Tiago Pires",5
"Patrick Gudauskas",5
"Brett Simpson",3
"Matt Wilkinson",17
"Joel Parkinson",3
"Dusty Payne",17
"Adam Melling",9
"Daniel Ross",3
"Travis Logie",17
"Kai Otton",3
"Tom Whitaker",3
"Luke Stedman",17
"Roy Powers",3
"Luke Munro",17
"Dean Morrison",17
"Neco Padaratz",3
"Kekoa Bacalso",3
"Ben Dunn",17
"Tanner Gudauskas",3
"Nathan Yeomans",17
"Jay Thompson",17
"Marco Polo",17
"Drew Courtney",3
"Mick Campbell",3
"Blake Thornton",17
"Joan Duru",17
"Tim Reyes",3
