"","col"
"Mick Fanning",3
"Kelly Slater",1
"Joel Parkinson",3
"Taj Burrow",13
"Julian Wilson",5
"Kai Otton",9
"Nat Young",9
"Josh Kerr",13
"John John Florence",2
"C.J. Hobgood",9
"Michel Bourez",13
"Adriano de Souza",13
"Gabriel Medina",13
"Filipe Toledo",25
"Sebastian Zietz",5
"Jeremy Flores",9
"Miguel Pupo",5
"Freddy Patacchia Jr.",13
"Bede Durbidge",13
"Matt Wilkinson",25
"Brett Simpson",25
"Adam Melling",13
"Travis Logie",25
"Kolohe Andino",25
"Patrick Gudauskas",13
"Yadin Nicol",5
"Damien Hobgood",25
"Alejo Muniz",25
"Kieren Perrow",3
"Dusty Payne",13
"Raoni Monteiro",3
