"","col"
"Mick Fanning",3
"Kelly Slater",2
"Joel Parkinson",9
"Jordy Smith",9
"Taj Burrow",25
"Julian Wilson",5
"Kai Otton",3
"Nat Young",25
"Josh Kerr",5
"John John Florence",5
"C.J. Hobgood",9
"Michel Bourez",25
"Adriano de Souza",25
"Gabriel Medina",13
"Filipe Toledo",25
"Sebastian Zietz",25
"Adrian Buchan",1
"Jeremy Flores",9
"Miguel Pupo",13
"Freddy Patacchia Jr.",5
"Bede Durbidge",13
"Matt Wilkinson",13
"Brett Simpson",25
"Adam Melling",13
"Travis Logie",25
"Kolohe Andino",25
"Patrick Gudauskas",25
"Yadin Nicol",13
"Damien Hobgood",13
"Alejo Muniz",25
"Kieren Perrow",13
