"","col"
"Kelly Slater",17
"Jordy Smith",1
"Mick Fanning",9
"Dane Reynolds",5
"Taj Burrow",3
"Bede Durbidge",3
"Owen Wright",9
"Adrian Buchan",9
"Jeremy Flores",3
"Adriano de Souza",5
"Michel Bourez",17
"Damien Hobgood",5
"Jadson Andre",3
"Kieren Perrow",3
"Chris Davidson",17
"C.J. Hobgood",3
"Taylor Knox",3
"Andy Irons",9
"Freddy Patacchia Jr.",17
"Bobby Martinez",17
"Tiago Pires",9
"Patrick Gudauskas",3
"Brett Simpson",9
"Matt Wilkinson",9
"Joel Parkinson",3
"Dusty Payne",9
"Adam Melling",2
"Daniel Ross",3
"Travis Logie",17
"Kai Otton",3
"Tom Whitaker",3
"Luke Stedman",17
"Roy Powers",3
"Luke Munro",3
"Dean Morrison",17
"Neco Padaratz",17
"Kekoa Bacalso",17
"Ben Dunn",17
"Tanner Gudauskas",17
"Nathan Yeomans",17
"Jay Thompson",17
"Marco Polo",3
"Drew Courtney",3
"Mick Campbell",3
"Blake Thornton",3
"Joan Duru",17
"Tim Reyes",17
