"","col"
"Joel Parkinson",3
"Kelly Slater",2
"Mick Fanning",1
"John John Florence",9
"Adriano de Souza",9
"Taj Burrow",13
"Gabriel Medina",13
"Josh Kerr",5
"Julian Wilson",25
"Owen Wright",5
"Jeremy Flores",3
"Jordy Smith",5
"C.J. Hobgood",9
"Adrian Buchan",25
"Michel Bourez",25
"Damien Hobgood",13
"Miguel Pupo",25
"Alejo Muniz",25
"Kieren Perrow",25
"Bede Durbidge",13
"Travis Logie",13
"Kai Otton",5
"Kolohe Andino",25
"Matt Wilkinson",13
"Brett Simpson",9
"Yadin Nicol",13
"Heitor Alves",25
"Raoni Monteiro",13
"Tiago Pires",13
"Freddy Patacchia Jr.",13
"Taylor Knox",25
"Adam Melling",25
"Jadson Andre",13
"Patrick Gudauskas",25
