"","x"
"1","Courtney Conlogue"
"2","Bianca Buitendag"
"3","Carissa Moore"
"4","Tyler Wright"
"5","Lakey Peterson"
"6","Keely Andrew"
"7","Coco Ho"
"8","Malia Manuel"
"9","Sally Fitzgibbons"
"10","Johanne Defay"
"11","Silvana Lima"
"12","Tatiana Weston-Webb"
"13","Nikki Van Dijk"
"14","Alessa Quizon"
"15","Luana Coutinho"
"16","Sage Erickson"
"17","Laura Enever"
"18","Dimity Stoyle"
