"","x"
"1","Carissa Moore"
"2","Stephanie Gilmore"
"3","Sofia Mulanovich"
"4","Claire Bevilacqua"
"5","Chelsea Hedges"
"6","Paige Hareb"
"7","Sally Fitzgibbons"
"8","Silvana Lima"
"9","Nikita Robb"
"10","Lee-Ann Curren"
"11","Rebecca Woods"
"12","Rosy Hodge"
"13","Coco Ho"
"14","Bethany Hamilton"
"15","Justine Dupont"
"16","Bruna Schmitz"
