"","x"
"1","Stephanie Gilmore"
"2","Carissa Moore"
"3","Pauline Ado"
"4","Sally Fitzgibbons"
"5","Silvana Lima"
"6","Courtney Conlogue"
"7","Sofia Mulanovich"
"8","Coco Ho"
"9","Lee-Ann Curren"
"10","Tyler Wright"
"11","Laura Enever"
"12","Paige Hareb"
"13","Rebecca Woods"
"14","Jessi Miley-Dyer"
"15","Felicity Palmateer"
"16","Claire Bevilacqua"
"17","Alana Blanchard"
"18","Melanie Bartels"
