"","x"
"1","Stephanie Gilmore"
"2","Carissa Moore"
"3","Chelsea Hedges"
"4","Sally Fitzgibbons"
"5","Lee-Ann Curren"
"6","Melanie Bartels"
"7","Coco Ho"
"8","Silvana Lima"
"9","Sofia Mulanovich"
"10","Rosy Hodge"
"11","Paige Hareb"
"12","Pauline Ado"
"13","Nikita Robb"
"14","Rebecca Woods"
"15","Claire Bevilacqua"
"16","Bruna Schmitz"
"17","Bethany Hamilton"
"18","Sage Erickson"
