"","x"
"1","Stephanie Gilmore"
"2","Sally Fitzgibbons"
"3","Coco Ho"
"4","Johanne Defay"
"5","Laura Enever"
"6","Lakey Peterson"
"7","Bianca Buitendag"
"8","Tyler Wright"
"9","Pauline Ado"
"10","Carissa Moore"
"11","Dimity Stoyle"
"12","Alessa Quizon"
"13","Courtney Conlogue"
"14","Paige Hareb"
"15","Mahina Maeda"
"16","Alana Blanchard"
"17","Malia Manuel"
"18","Nikki Van Dijk"
