"","x"
"1","Sally Fitzgibbons"
"2","Lakey Peterson"
"3","Carissa Moore"
"4","Coco Ho"
"5","Laura Enever"
"6","Courtney Conlogue"
"7","Rebecca Woods"
"8","Stephanie Gilmore"
"9","Tyler Wright"
"10","Silvana Lima"
"11","Sofia Mulanovich"
"12","Melanie Bartels"
"13","Felicity Palmateer"
"14","Jessi Miley-Dyer"
"15","Pauline Ado"
"16","Claire Bevilacqua"
"17","Alana Blanchard"
"18","Paige Hareb"
