"","x"
"1","Carissa Moore"
"2","Stephanie Gilmore"
"3","Tatiana Weston-Webb"
"4","Tyler Wright"
"5","Malia Manuel"
"6","Silvana Lima"
"7","Courtney Conlogue"
"8","Lakey Peterson"
"9","Dimity Stoyle"
"10","Sally Fitzgibbons"
"11","Nikki Van Dijk"
"12","Coco Ho"
"13","Sage Erickson"
"14","Johanne Defay"
"15","Bronte Macaulay"
"16","Alessa Quizon"
"17","Bianca Buitendag"
"18","Laura Enever"
