"","x"
"1","Courtney Conlogue"
"2","Tatiana Weston-Webb"
"3","Tyler Wright"
"4","Sally Fitzgibbons"
"5","Johanne Defay"
"6","Sage Erickson"
"7","Carissa Moore"
"8","Nikki Van Dijk"
"9","Lakey Peterson"
"10","Bethany Hamilton"
"11","Stephanie Gilmore"
"12","Keely Andrew"
"13","Laura Enever"
"14","Silvana Lima"
"15","Bianca Buitendag"
"16","Pauline Ado"
"17","Bronte Macaulay"
"18","Coco Ho"
