"","x"
"1","Silvana Lima"
"2","Sally Fitzgibbons"
"3","Stephanie Gilmore"
"4","Sofia Mulanovich"
"5","Claire Bevilacqua"
"6","Paige Hareb"
"7","Coco Ho"
"8","Chelsea Hedges"
"9","Nikita Robb"
"10","Melanie Bartels"
"11","Rebecca Woods"
"12","Rosy Hodge"
"13","Amee Donohoe"
"14","Sage Erickson"
"15","Bruna Schmitz"
