"","x"
"1","Courtney Conlogue"
"2","Coco Ho"
"3","Stephanie Gilmore"
"4","Sally Fitzgibbons"
"5","Rebecca Woods"
"6","Carissa Moore"
"7","Malia Manuel"
"8","Lakey Peterson"
"9","Bianca Buitendag"
"10","Laura Enever"
"11","Sage Erickson"
"12","Tyler Wright"
"13","Silvana Lima"
"14","Paige Hareb"
"15","Ella Williams"
"16","Sofia Mulanovich"
"17","Alana Blanchard"
"18","Pauline Ado"
