"","x"
"1","Carissa Moore"
"2","Tyler Wright"
"3","Stephanie Gilmore"
"4","Sally Fitzgibbons"
"5","Courtney Conlogue"
"6","Coco Ho"
"7","Alana Blanchard"
"8","Paige Hareb"
"9","Felicity Palmateer"
"10","Bianca Buitendag"
"11","Lakey Peterson"
"12","Laura Enever"
"13","Silvana Lima"
"14","Malia Manuel"
"15","Sofia Mulanovich"
"16","Rebecca Woods"
"17","Sage Erickson"
"18","Pauline Ado"
