"","x"
"1","Tyler Wright"
"2","Carissa Moore"
"3","Keely Andrew"
"4","Courtney Conlogue"
"5","Tatiana Weston-Webb"
"6","Coco Ho"
"7","Bianca Buitendag"
"8","Malia Manuel"
"9","Brisa Hennessy"
"10","Stephanie Gilmore"
"11","Lakey Peterson"
"12","Alessa Quizon"
"13","Laura Enever"
"14","Sage Erickson"
"15","Johanne Defay"
"16","Chelsea Tuach"
"17","Sally Fitzgibbons"
"18","Nikki Van Dijk"
"19","Chelsea Hedges"
