"","x"
"1","Sally Fitzgibbons"
"2","Carissa Moore"
"3","Silvana Lima"
"4","Stephanie Gilmore"
"5","Sofia Mulanovich"
"6","Courtney Conlogue"
"7","Tyler Wright"
"8","Coco Ho"
"9","Chelsea Hedges"
"10","Melanie Bartels"
"11","Jessi Miley-Dyer"
"12","Pauline Ado"
"13","Paige Hareb"
"14","Laura Enever"
"15","Nikki Van Dijk"
"16","Bethany Hamilton"
"17","Alana Blanchard"
"18","Rebecca Woods"
