"","col"
"Stephanie Gilmore",3
"Sally Fitzgibbons",4
"Carissa Moore",5
"Silvana Lima",5
"Sofia Mulanovich",1
"Coco Ho",2
"Melanie Bartels",5
"Paige Hareb",1
"Rebecca Woods",9
"Claire Bevilacqua",1
"Lee-Ann Curren",1
"Rosy Hodge",1
"Jessi Miley-Dyer",1
"Bruna Schmitz",9
"Nikita Robb",1
