"","col"
"Stephanie Gilmore",3
"Sally Fitzgibbons",2
"Carissa Moore",1
"Silvana Lima",1
"Sofia Mulanovich",3
"Chelsea Hedges",5
"Coco Ho",5
"Melanie Bartels",9
"Paige Hareb",5
"Rebecca Woods",9
"Claire Bevilacqua",5
"Lee-Ann Curren",1
"Rosy Hodge",9
"Jessi Miley-Dyer",1
"Bruna Schmitz",1
"Nikita Robb",9
"Amee Donohoe",9
