"","col"
"Stephanie Gilmore",9
"Sally Fitzgibbons",3
"Carissa Moore",2
"Tyler Wright",9
"Courtney Conlogue",5
"Malia Manuel",3
"Lakey Peterson",1
"Laura Enever",9
"Coco Ho",5
"Paige Hareb",5
"Rebecca Woods",13
"Sofia Mulanovich",13
"Pauline Ado",9
"Sage Erickson",5
"Sarah Mason",13
"Justine Dupont",13
"Jacqueline Silva",13
