"","col"
"Stephanie Gilmore",1
"Sally Fitzgibbons",3
"Carissa Moore",2
"Silvana Lima",5
"Sofia Mulanovich",9
"Chelsea Hedges",3
"Coco Ho",5
"Melanie Bartels",5
"Paige Hareb",9
"Rebecca Woods",9
"Claire Bevilacqua",9
"Lee-Ann Curren",5
"Rosy Hodge",9
"Bruna Schmitz",9
"Nikita Robb",9
