"","col"
"Stephanie Gilmore",2
"Sally Fitzgibbons",5
"Carissa Moore",1
"Silvana Lima",5
"Sofia Mulanovich",3
"Chelsea Hedges",5
"Coco Ho",9
"Melanie Bartels",1
"Paige Hareb",5
"Rebecca Woods",9
"Claire Bevilacqua",3
"Lee-Ann Curren",9
"Rosy Hodge",9
"Jessi Miley-Dyer",1
"Bruna Schmitz",1
"Nikita Robb",9
"Amee Donohoe",1
