"","col"
"Carissa Moore",3
"Tyler Wright",1
"Sally Fitzgibbons",2
"Courtney Conlogue",5
"Stephanie Gilmore",3
"Coco Ho",9
"Lakey Peterson",9
"Bianca Buitendag",5
"Pauline Ado",5
"Laura Enever",9
"Alana Blanchard",5
"Paige Hareb",13
"Malia Manuel",13
"Sage Erickson",13
"Silvana Lima",9
"Rebecca Woods",13
"Sofia Mulanovich",13
