"","x"
"1","Jordy Smith"
"2","John John Florence"
"3","Adrian Buchan"
"4","Kelly Slater"
"5","Mick Fanning"
"6","Gabriel Medina"
"7","Adriano de Souza"
"8","Joel Parkinson"
"9","Michel Bourez"
"10","Miguel Pupo"
"11","Owen Wright"
"12","Taj Burrow"
"13","Jadson Andre"
"14","Nat Young"
"15","Tiago Pires"
"16","Kolohe Andino"
"17","Julian Wilson"
"18","Tanner Gudauskas"
"19","C.J. Hobgood"
"20","Filipe Toledo"
"21","Kai Otton"
"22","Freddy Patacchia Jr."
"23","Aritz Aranburu"
"24","Raoni Monteiro"
"25","Jeremy Flores"
"26","Brett Simpson"
"27","Travis Logie"
"28","Josh Kerr"
"29","Bede Durbidge"
"30","Dion Atkinson"
"31","Alejo Muniz"
"32","Sebastian Zietz"
"33","Mitch Crews"
"34","Adam Melling"
"35","Matt Wilkinson"
