"","x"
"1","Jordy Smith"
"2","Joel Parkinson"
"3","Filipe Toledo"
"4","Tanner Gudauskas"
"5","Brett Simpson"
"6","Kelly Slater"
"7","Stuart Kennedy"
"8","Alex Ribeiro"
"9","Michel Bourez"
"10","Kolohe Andino"
"11","Josh Kerr"
"12","Jadson Andre"
"13","Kai Otton"
"14","Miguel Pupo"
"15","Jack Freestone"
"16","Conner Coffin"
"17","Caio Ibelli"
"18","John John Florence"
"19","Gabriel Medina"
"20","Wiggolly Dantas"
"21","Mick Fanning"
"22","Italo Ferreira"
"23","Kanoa Igarashi"
"24","Adrian Buchan"
"25","Matt Wilkinson"
"26","Julian Wilson"
"27","Adriano de Souza"
"28","Ryan Callinan"
"29","Keanu Asing"
"30","Matt Banting"
"31","Jeremy Flores"
"32","Sebastian Zietz"
"33","Alejo Muniz"
"34","Davey Cathels"
"35","Nat Young"
"36","Adam Melling"
