"","x"
"1","Gabriel Medina"
"2","Joel Parkinson"
"3","Taj Burrow"
"4","Adriano de Souza"
"5","C.J. Hobgood"
"6","Mick Fanning"
"7","Kelly Slater"
"8","Miguel Pupo"
"9","Freddy Patacchia Jr."
"10","Mitch Crews"
"11","Nat Young"
"12","Josh Kerr"
"13","Travis Logie"
"14","Michel Bourez"
"15","Julian Wilson"
"16","Adam Melling"
"17","Adrian Buchan"
"18","Dane Reynolds"
"19","Tiago Pires"
"20","Jeremy Flores"
"21","Kolohe Andino"
"22","Jadson Andre"
"23","Owen Wright"
"24","Dion Atkinson"
"25","Matt Banting"
"26","Jordy Smith"
"27","Brett Simpson"
"28","Kai Otton"
"29","John John Florence"
"30","Raoni Monteiro"
"31","Aritz Aranburu"
"32","Filipe Toledo"
"33","Sebastian Zietz"
"34","Alejo Muniz"
"35","Bede Durbidge"
"36","Matt Wilkinson"
