"","x"
"1","Matt Wilkinson"
"2","Jordy Smith"
"3","Italo Ferreira"
"4","Mick Fanning"
"5","Nat Young"
"6","Wiggolly Dantas"
"7","Conner Coffin"
"8","Michel Bourez"
"9","Mason Ho"
"10","Julian Wilson"
"11","Davey Cathels"
"12","Caio Ibelli"
"13","Sebastian Zietz"
"14","Stuart Kennedy"
"15","Miguel Pupo"
"16","Kanoa Igarashi"
"17","Adrian Buchan"
"18","Adriano de Souza"
"19","Dusty Payne"
"20","Kai Otton"
"21","Joel Parkinson"
"22","Kelly Slater"
"23","John John Florence"
"24","Gabriel Medina"
"25","Tim Stevenson"
"26","Jeremy Flores"
"27","Timothee Bisso"
"28","Josh Kerr"
"29","Adam Melling"
"30","Alex Ribeiro"
"31","Kolohe Andino"
"32","Taj Burrow"
"33","Ryan Callinan"
"34","Matt Banting"
"35","Jadson Andre"
"36","Keanu Asing"
