"","x"
"1","Jordy Smith"
"2","Jeremy Flores"
"3","Kelly Slater"
"4","Kieren Perrow"
"5","Dane Reynolds"
"6","Owen Wright"
"7","Adrian Buchan"
"8","Taylor Knox"
"9","Taj Burrow"
"10","Bede Durbidge"
"11","Dusty Payne"
"12","Damien Hobgood"
"13","Matt Wilkinson"
"14","Joel Parkinson"
"15","Adam Melling"
"16","Freddy Patacchia Jr."
"17","C.J. Hobgood"
"18","John John Florence"
"19","Adriano de Souza"
"20","Jadson Andre"
"21","Patrick Gudauskas"
"22","Michel Bourez"
"23","Mick Fanning"
"24","Dean Morrison"
"25","Bobby Martinez"
"26","Heitor Alves"
"27","Gabe Kling"
"28","Luke Munro"
"29","Tiago Pires"
"30","Tom Whitaker"
"31","Brett Simpson"
"32","Daniel Ross"
"33","Kai Otton"
"34","Luke Stedman"
"35","Roy Powers"
"36","Travis Logie"
"37","Bruce Irons"
