"","x"
"1","Gabriel Medina"
"2","Joel Parkinson"
"3","Taylor Knox"
"4","Alejo Muniz"
"5","Kieren Perrow"
"6","Kelly Slater"
"7","Brett Simpson"
"8","Josh Kerr"
"9","Miguel Pupo"
"10","Matt Wilkinson"
"11","Patrick Gudauskas"
"12","Owen Wright"
"13","Taj Burrow"
"14","Bede Durbidge"
"15","Adriano de Souza"
"16","Freddy Patacchia Jr."
"17","Adrian Buchan"
"18","Daniel Ross"
"19","Adam Melling"
"20","Raoni Monteiro"
"21","Julian Wilson"
"22","Chris Davidson"
"23","Tiago Pires"
"24","Jordy Smith"
"25","Michel Bourez"
"26","Dane Reynolds"
"27","Mick Fanning"
"28","Travis Logie"
"29","Damien Hobgood"
"30","Kai Otton"
"31","Dusty Payne"
"32","John John Florence"
"33","Jadson Andre"
"34","Tom Whitaker"
