"","x"
"1","Jordy Smith"
"2","Adam Melling"
"3","Bede Durbidge"
"4","Taj Burrow"
"5","Adriano de Souza"
"6","Dane Reynolds"
"7","Damien Hobgood"
"8","Adrian Buchan"
"9","Owen Wright"
"10","Matt Wilkinson"
"11","Tiago Pires"
"12","Brett Simpson"
"13","Mick Fanning"
"14","Dusty Payne"
"15","Jay Thompson"
"16","Travis Logie"
"17","Ben Dunn"
"18","Nathan Yeomans"
"19","Tanner Gudauskas"
"20","Freddy Patacchia Jr."
"21","Andy Irons"
"22","Luke Stedman"
"23","Joan Duru"
"24","Kekoa Bacalso"
"25","Neco Padaratz"
"26","Michel Bourez"
"27","Tim Reyes"
"28","Dean Morrison"
"29","Bobby Martinez"
"30","Chris Davidson"
"31","Taylor Knox"
"32","C.J. Hobgood"
"33","Blake Thornton"
"34","Marco Polo"
"35","Kieren Perrow"
"36","Roy Powers"
"37","Tom Whitaker"
"38","Jeremy Flores"
"39","Daniel Ross"
"40","Drew Courtney"
"41","Luke Munro"
"42","Patrick Gudauskas"
"43","Mick Campbell"
"44","Jadson Andre"
"45","Kelly Slater"
