"","x"
"1","Ian Gouveia"
"2","Julian Wilson"
"3","Matt Wilkinson"
"4","Italo Ferreira"
"5","Owen Wright"
"6","Frederico Morais"
"7","Miguel Pupo"
"8","Gabriel Medina"
"9","Mick Fanning"
"10","Michel Bourez"
"11","John John Florence"
"12","Leonardo Fioravanti"
"13","Jordy Smith"
"14","Joan Duru"
"15","Kelly Slater"
"16","Connor O'Leary"
"17","Joel Parkinson"
"18","Jeremy Flores"
"19","Kolohe Andino"
"20","Bede Durbidge"
"21","Sebastian Zietz"
"22","Wiggolly Dantas"
"23","Adriano de Souza"
"24","Stuart Kennedy"
"25","Tevita Gukilau"
"26","Yago Dora"
"27","Bino Lopes"
"28","Adrian Buchan"
"29","Ethan Ewing"
"30","Conner Coffin"
"31","Jadson Andre"
"32","Nat Young"
"33","Ezekiel Lau"
"34","Kanoa Igarashi"
"35","Jack Freestone"
"36","Josh Kerr"
