"","x"
"1","Mick Fanning"
"2","Adriano de Souza"
"3","Filipe Toledo"
"4","Gabriel Medina"
"5","Joel Parkinson"
"6","Wiggolly Dantas"
"7","Adrian Buchan"
"8","Nat Young"
"9","Miguel Pupo"
"10","Italo Ferreira"
"11","Kelly Slater"
"12","Owen Wright"
"13","Julian Wilson"
"14","Matt Wilkinson"
"15","Michel Bourez"
"16","Josh Kerr"
"17","Taj Burrow"
"18","Glenn Hall"
"19","Kolohe Andino"
"20","Kai Otton"
"21","Jeremy Flores"
"22","Adam Melling"
"23","Bede Durbidge"
"24","Freddy Patacchia Jr."
"25","Ian Crane"
"26","Hiroto Ohhara"
"27","Tomas Hermes"
"28","Aritz Aranburu"
"29","Brett Simpson"
"30","Dusty Payne"
"31","John John Florence"
"32","Ricardo Christie"
"33","C.J. Hobgood"
"34","Jadson Andre"
"35","Sebastian Zietz"
"36","Keanu Asing"
