"","x"
"1","Adriano de Souza"
"2","Taj Burrow"
"3","Jeremy Flores"
"4","Bede Durbidge"
"5","Bobby Martinez"
"6","Joel Parkinson"
"7","Josh Kerr"
"8","Owen Wright"
"9","Damien Hobgood"
"10","Daniel Ross"
"11","Raoni Monteiro"
"12","Michel Bourez"
"13","Cory Lopez"
"14","Heitor Alves"
"15","Adrian Buchan"
"16","Adam Melling"
"17","Kieren Perrow"
"18","Kelly Slater"
"19","Jordy Smith"
"20","C.J. Hobgood"
"21","Patrick Gudauskas"
"22","Taylor Knox"
"23","Jadson Andre"
"24","Mick Fanning"
"25","Kai Otton"
"26","Matt Wilkinson"
"27","Gabe Kling"
"28","Chris Davidson"
"29","Tiago Pires"
"30","Julian Wilson"
"31","Dusty Payne"
"32","Alejo Muniz"
