"","x"
"1","Kai Otton"
"2","Nat Young"
"3","Joel Parkinson"
"4","Josh Kerr"
"5","Julian Wilson"
"6","Mick Fanning"
"7","Jordy Smith"
"8","C.J. Hobgood"
"9","Matt Wilkinson"
"10","John John Florence"
"11","Miguel Pupo"
"12","Taj Burrow"
"13","Alejo Muniz"
"14","Bede Durbidge"
"15","Damien Hobgood"
"16","Adriano de Souza"
"17","Filipe Toledo"
"18","Jacob Willcox"
"19","Frederico Morais"
"20","Sebastian Zietz"
"21","Adam Melling"
"22","Michel Bourez"
"23","Freddy Patacchia Jr."
"24","Kieren Perrow"
"25","Kelly Slater"
"26","Raoni Monteiro"
"27","Yadin Nicol"
"28","Adrian Buchan"
"29","Gabriel Medina"
"30","Jeremy Flores"
"31","Patrick Gudauskas"
"32","Brett Simpson"
"33","Travis Logie"
"34","Kolohe Andino"
