"","x"
"1","John John Florence"
"2","Conner Coffin"
"3","Kolohe Andino"
"4","Jordy Smith"
"5","Adriano de Souza"
"6","Julian Wilson"
"7","Miguel Pupo"
"8","Sebastian Zietz"
"9","Joel Parkinson"
"10","Michel Bourez"
"11","Jeremy Flores"
"12","Stuart Kennedy"
"13","Matt Banting"
"14","Wiggolly Dantas"
"15","Jadson Andre"
"16","Kanoa Igarashi"
"17","Caio Ibelli"
"18","Frederico Morais"
"19","Gabriel Medina"
"20","Josh Kerr"
"21","Kelly Slater"
"22","Filipe Toledo"
"23","Italo Ferreira"
"24","Kai Otton"
"25","Miguel Blanco"
"26","Ryan Callinan"
"27","Matt Wilkinson"
"28","Alex Ribeiro"
"29","Adam Melling"
"30","Adrian Buchan"
"31","Alejo Muniz"
"32","Jack Freestone"
"33","Davey Cathels"
"34","Dusty Payne"
"35","Nat Young"
"36","Keanu Asing"
