"","x"
"1","Michel Bourez"
"2","Kanoa Igarashi"
"3","Kolohe Andino"
"4","Kelly Slater"
"5","Jeremy Flores"
"6","John John Florence"
"7","Josh Kerr"
"8","Jordy Smith"
"9","Joel Parkinson"
"10","Filipe Toledo"
"11","Ryan Callinan"
"12","Nat Young"
"13","Matt Wilkinson"
"14","Wiggolly Dantas"
"15","Kai Otton"
"16","Miguel Pupo"
"17","Italo Ferreira"
"18","Bede Durbidge"
"19","Gabriel Medina"
"20","Sebastian Zietz"
"21","Adriano de Souza"
"22","Julian Wilson"
"23","Conner Coffin"
"24","Alex Ribeiro"
"25","Gavin Beschen"
"26","Bruce Irons"
"27","Finn McGill"
"28","Frederico Morais"
"29","Adrian Buchan"
"30","Caio Ibelli"
"31","Adam Melling"
"32","Stuart Kennedy"
"33","Jack Freestone"
"34","Davey Cathels"
"35","Jadson Andre"
"36","Keanu Asing"
