"","x"
"1","Taj Burrow"
"2","Jordy Smith"
"3","Bobby Martinez"
"4","Dane Reynolds"
"5","Adriano de Souza"
"6","Kai Otton"
"7","Joel Parkinson"
"8","Bede Durbidge"
"9","Adrian Buchan"
"10","Chris Davidson"
"11","Damien Hobgood"
"12","Mick Fanning"
"13","Freddy Patacchia Jr."
"14","Daniel Ross"
"15","Kieren Perrow"
"16","Kelly Slater"
"17","Jadson Andre"
"18","Taylor Knox"
"19","Tom Whitaker"
"20","Owen Wright"
"21","Andy Irons"
"22","Luke Stedman"
"23","Dean Morrison"
"24","Brett Simpson"
"25","Dusty Payne"
"26","Kekoa Bacalso"
"27","C.J. Hobgood"
"28","Jeremy Flores"
"29","Luke Munro"
"30","Mick Campbell"
"31","Patrick Gudauskas"
"32","Tiago Pires"
"33","Garrett Parkes"
"34","Neco Padaratz"
"35","Blake Thornton"
"36","Marco Polo"
"37","Travis Logie"
"38","Tanner Gudauskas"
"39","Matt Wilkinson"
"40","Nathan Yeomans"
"41","Jay Thompson"
"42","Adam Melling"
"43","Michel Bourez"
"44","Ben Dunn"
"45","Roy Powers"
"46","Drew Courtney"
