"","x"
"1","Kelly Slater"
"2","Dane Reynolds"
"3","John John Florence"
"4","Joel Parkinson"
"5","Miguel Pupo"
"6","Kolohe Andino"
"7","Gabriel Medina"
"8","Kieren Perrow"
"9","Michel Bourez"
"10","Bede Durbidge"
"11","Owen Wright"
"12","Adrian Buchan"
"13","Taylor Knox"
"14","Julian Wilson"
"15","Taj Burrow"
"16","Jordy Smith"
"17","Brett Simpson"
"18","Mick Fanning"
"19","Patrick Gudauskas"
"20","Alejo Muniz"
"21","Freddy Patacchia Jr."
"22","Jeremy Flores"
"23","Kai Otton"
"24","Jadson Andre"
"25","Wiggolly Dantas"
"26","Dusty Payne"
"27","Adriano de Souza"
"28","Josh Kerr"
"29","Yadin Nicol"
"30","Matt Wilkinson"
"31","Adam Melling"
"32","C.J. Hobgood"
"33","Travis Logie"
"34","Heitor Alves"
"35","Tiago Pires"
"36","Damien Hobgood"
