"","x"
"1","Joel Parkinson"
"2","Josh Kerr"
"3","Damien Hobgood"
"4","Kelly Slater"
"5","Sebastian Zietz"
"6","C.J. Hobgood"
"7","Yadin Nicol"
"8","Kieren Perrow"
"9","Dane Reynolds"
"10","Gabriel Medina"
"11","Miguel Pupo"
"12","John John Florence"
"13","Owen Wright"
"14","Adriano de Souza"
"15","Julian Wilson"
"16","Jordy Smith"
"17","Kolohe Andino"
"18","Bede Durbidge"
"19","Taj Burrow"
"20","Jeremy Flores"
"21","Mick Fanning"
"22","Adrian Buchan"
"23","Michel Bourez"
"24","Jamie O'Brien"
"25","Alejo Muniz"
"26","Travis Logie"
"27","Kai Otton"
"28","Adam Melling"
"29","Freddy Patacchia Jr."
"30","Matt Wilkinson"
"31","Brett Simpson"
"32","Heitor Alves"
"33","Tiago Pires"
"34","Taylor Knox"
"35","Bruce Irons"
"36","Jadson Andre"
"37","Patrick Gudauskas"
"38","Dusty Payne"
"39","Glenn Hall"
