"","x"
"1","Kelly Slater"
"2","Owen Wright"
"3","Josh Kerr"
"4","Travis Logie"
"5","Jeremy Flores"
"6","Matt Wilkinson"
"7","Brett Simpson"
"8","Raoni Monteiro"
"9","Michel Bourez"
"10","Kai Otton"
"11","Freddy Patacchia Jr."
"12","Chris Davidson"
"13","Cory Lopez"
"14","Julian Wilson"
"15","Adrian Buchan"
"16","Dusty Payne"
"17","Jadson Andre"
"18","Jordy Smith"
"19","Tiago Pires"
"20","Damien Hobgood"
"21","Taylor Knox"
"22","C.J. Hobgood"
"23","Mick Fanning"
"24","Taj Burrow"
"25","Gabe Kling"
"26","Adam Melling"
"27","Joel Parkinson"
"28","Bede Durbidge"
"29","Daniel Ross"
"30","Adriano de Souza"
"31","Kieren Perrow"
"32","Patrick Gudauskas"
"33","Alejo Muniz"
"34","Heitor Alves"
