"","x"
"1","Kelly Slater"
"2","Bede Durbidge"
"3","Mick Fanning"
"4","Dane Reynolds"
"5","Kieren Perrow"
"6","Owen Wright"
"7","Jordy Smith"
"8","Taj Burrow"
"9","C.J. Hobgood"
"10","Chris Davidson"
"11","Adrian Buchan"
"12","Damien Hobgood"
"13","Dusty Payne"
"14","Andy Irons"
"15","Adriano de Souza"
"16","Adam Melling"
"17","Tiago Pires"
"18","Gabe Kling"
"19","Brett Simpson"
"20","Jadson Andre"
"21","Taylor Knox"
"22","Luke Stedman"
"23","Michel Bourez"
"24","Matt Wilkinson"
"25","Kolohe Andino"
"26","Bobby Martinez"
"27","Travis Logie"
"28","Freddy Patacchia Jr."
"29","Luke Munro"
"30","Daniel Ross"
"31","Jeremy Flores"
"32","Tom Whitaker"
"33","Roy Powers"
"34","Patrick Gudauskas"
"35","Kai Otton"
