"","x"
"1","Kelly Slater"
"2","Joel Parkinson"
"3","Michel Bourez"
"4","Mick Fanning"
"5","Taj Burrow"
"6","Julian Wilson"
"7","Bede Durbidge"
"8","Matt Wilkinson"
"9","Jeremy Flores"
"10","Adam Melling"
"11","Brett Simpson"
"12","Travis Logie"
"13","John John Florence"
"14","Kai Otton"
"15","Filipe Toledo"
"16","Sebastian Zietz"
"17","Alejo Muniz"
"18","Dane Reynolds"
"19","Dusty Payne"
"20","C.J. Hobgood"
"21","Josh Kerr"
"22","Gabriel Medina"
"23","Jordy Smith"
"24","Nat Young"
"25","Adriano de Souza"
"26","Willian Cardoso"
"27","Patrick Gudauskas"
"28","Owen Wright"
"29","Raoni Monteiro"
"30","Tiago Pires"
"31","Adrian Buchan"
"32","Damien Hobgood"
"33","Kieren Perrow"
"34","Glenn Hall"
"35","Kolohe Andino"
