"","x"
"1","Kieren Perrow"
"2","Joel Parkinson"
"3","Kelly Slater"
"4","Michel Bourez"
"5","Jamie O'Brien"
"6","John John Florence"
"7","Gabriel Medina"
"8","C.J. Hobgood"
"9","Taj Burrow"
"10","Dusty Payne"
"11","Adriano de Souza"
"12","Julian Wilson"
"13","Damien Hobgood"
"14","Travis Logie"
"15","Adam Melling"
"16","Owen Wright"
"17","Jordy Smith"
"18","Josh Kerr"
"19","Adrian Buchan"
"20","Miguel Pupo"
"21","Bede Durbidge"
"22","Taylor Knox"
"23","Raoni Monteiro"
"24","Brett Simpson"
"25","Mason Ho"
"26","Tanner Gudauskas"
"27","Kolohe Andino"
"28","Tiago Pires"
"29","Jadson Andre"
"30","Matt Wilkinson"
"31","Kekoa Bacalso"
"32","Freddy Patacchia Jr."
"33","Bruce Irons"
"34","Kai Otton"
"35","Chris Davidson"
"36","Daniel Ross"
"37","Dane Reynolds"
"38","Willian Cardoso"
"39","Jack Freestone"
