"","x"
"1","Joel Parkinson"
"2","Mick Fanning"
"3","Adriano de Souza"
"4","Jordy Smith"
"5","Owen Wright"
"6","Kelly Slater"
"7","Chris Davidson"
"8","Jadson Andre"
"9","Bede Durbidge"
"10","C.J. Hobgood"
"11","Michel Bourez"
"12","Tiago Pires"
"13","Gabe Kling"
"14","Adam Melling"
"15","Jeremy Flores"
"16","Heitor Alves"
"17","Matt Wilkinson"
"18","Stuart Kennedy"
"19","Bobby Martinez"
"20","Kieren Perrow"
"21","Damien Hobgood"
"22","Patrick Gudauskas"
"23","Alejo Muniz"
"24","Josh Kerr"
"25","Gabriel Medina"
"26","Taj Burrow"
"27","Adrian Buchan"
"28","Raoni Monteiro"
"29","Cory Lopez"
"30","Brett Simpson"
"31","Daniel Ross"
"32","Julian Wilson"
"33","Kai Otton"
"34","Dusty Payne"
"35","Taylor Knox"
