"","x"
"1","Mick Fanning"
"2","Taj Burrow"
"3","John John Florence"
"4","Julian Wilson"
"5","Adriano de Souza"
"6","Kelly Slater"
"7","Joel Parkinson"
"8","Owen Wright"
"9","Gabriel Medina"
"10","Adam Melling"
"11","Jordy Smith"
"12","Freddy Patacchia Jr."
"13","Mitch Crews"
"14","Filipe Toledo"
"15","Josh Kerr"
"16","Bede Durbidge"
"17","Kai Otton"
"18","Glenn Hall"
"19","Aritz Aranburu"
"20","C.J. Hobgood"
"21","Sebastian Zietz"
"22","Nat Young"
"23","Miguel Pupo"
"24","Matt Wilkinson"
"25","Jacob Willcox"
"26","Michel Bourez"
"27","Brett Simpson"
"28","Raoni Monteiro"
"29","Tiago Pires"
"30","Dion Atkinson"
"31","Travis Logie"
"32","Adrian Buchan"
"33","Jeremy Flores"
"34","Jadson Andre"
"35","Kolohe Andino"
