"","x"
"1","Julian Wilson"
"2","Gabriel Medina"
"3","Josh Kerr"
"4","Adrian Buchan"
"5","Filipe Toledo"
"6","John John Florence"
"7","Alejo Muniz"
"8","Kai Otton"
"9","Owen Wright"
"10","Michel Bourez"
"11","Mick Fanning"
"12","Sebastian Zietz"
"13","Adam Melling"
"14","Freddy Patacchia Jr."
"15","Matt Wilkinson"
"16","Jadson Andre"
"17","Miguel Pupo"
"18","Dusty Payne"
"19","Kolohe Andino"
"20","Bede Durbidge"
"21","Jeremy Flores"
"22","Joel Parkinson"
"23","Nat Young"
"24","Kelly Slater"
"25","Jordy Smith"
"26","Mitch Coleborn"
"27","Raoni Monteiro"
"28","Glenn Hall"
"29","Travis Logie"
"30","Brett Simpson"
"31","Mitch Crews"
"32","Tiago Pires"
"33","Dion Atkinson"
"34","Aritz Aranburu"
