"","x"
"1","Taj Burrow"
"2","Julian Wilson"
"3","Jordy Smith"
"4","Michel Bourez"
"5","Kai Otton"
"6","Patrick Gudauskas"
"7","Travis Logie"
"8","Josh Kerr"
"9","C.J. Hobgood"
"10","Adriano de Souza"
"11","Mick Fanning"
"12","Adam Melling"
"13","Brett Simpson"
"14","Gabriel Medina"
"15","Kolohe Andino"
"16","Freddy Patacchia Jr."
"17","Jeremy Flores"
"18","Kelly Slater"
"19","Alejo Muniz"
"20","Sebastian Zietz"
"21","Bede Durbidge"
"22","Nat Young"
"23","Filipe Toledo"
"24","Joel Parkinson"
"25","Dane Reynolds"
"26","Ian Crane"
"27","Nathan Yeomans"
"28","Mitch Crews"
"29","Adrian Buchan"
"30","Kieren Perrow"
"31","John John Florence"
"32","Yadin Nicol"
"33","Raoni Monteiro"
"34","Miguel Pupo"
"35","Damien Hobgood"
"36","Matt Wilkinson"
