"","x"
"1","Gabriel Medina"
"2","Julian Wilson"
"3","Taylor Knox"
"4","Jordy Smith"
"5","Michel Bourez"
"6","Kelly Slater"
"7","Alejo Muniz"
"8","Taj Burrow"
"9","Adrian Buchan"
"10","Jeremy Flores"
"11","Owen Wright"
"12","Damien Hobgood"
"13","Mick Fanning"
"14","Kieren Perrow"
"15","Kai Otton"
"16","Patrick Gudauskas"
"17","Bede Durbidge"
"18","Dane Reynolds"
"19","Jadson Andre"
"20","Miguel Pupo"
"21","Travis Logie"
"22","Brett Simpson"
"23","Tiago Pires"
"24","Joel Parkinson"
"25","Adriano de Souza"
"26","Josh Kerr"
"27","John John Florence"
"28","Adam Melling"
"29","Dusty Payne"
"30","Daniel Ross"
"31","Raoni Monteiro"
"32","Matt Wilkinson"
"33","Freddy Patacchia Jr."
"34","Chris Davidson"
"35","Heitor Alves"
