"","x"
"1","Julian Wilson"
"2","Gabriel Medina"
"3","Joel Parkinson"
"4","Adriano de Souza"
"5","Josh Kerr"
"6","John John Florence"
"7","Owen Wright"
"8","Jeremy Flores"
"9","Kolohe Andino"
"10","Adrian Buchan"
"11","Mick Fanning"
"12","Raoni Monteiro"
"13","Travis Logie"
"14","Brett Simpson"
"15","Taj Burrow"
"16","Alejo Muniz"
"17","C.J. Hobgood"
"18","Dusty Payne"
"19","Kelly Slater"
"20","Michel Bourez"
"21","Kai Otton"
"22","Kieren Perrow"
"23","Bede Durbidge"
"24","Yadin Nicol"
"25","Jordy Smith"
"26","Patrick Gudauskas"
"27","Jadson Andre"
"28","Miguel Pupo"
"29","Heitor Alves"
"30","Taylor Knox"
"31","Matt Wilkinson"
"32","Adam Melling"
"33","Damien Hobgood"
"34","Tiago Pires"
