"","x"
"1","Mick Fanning"
"2","Jordy Smith"
"3","John John Florence"
"4","Kai Otton"
"5","Adam Melling"
"6","Adriano de Souza"
"7","Josh Kerr"
"8","Filipe Toledo"
"9","Brett Simpson"
"10","Bede Durbidge"
"11","Aritz Aranburu"
"12","Michel Bourez"
"13","Joel Parkinson"
"14","Freddy Patacchia Jr."
"15","Dion Atkinson"
"16","Jadson Andre"
"17","Owen Wright"
"18","Gabriel Medina"
"19","Kelly Slater"
"20","Miguel Pupo"
"21","Sebastian Zietz"
"22","Taj Burrow"
"23","Kolohe Andino"
"24","Alejo Muniz"
"25","Jacob Willcox"
"26","Raoni Monteiro"
"27","Jeremy Flores"
"28","Nat Young"
"29","Travis Logie"
"30","Adrian Buchan"
"31","Julian Wilson"
"32","Mitch Crews"
"33","C.J. Hobgood"
"34","Matt Wilkinson"
"35","Tiago Pires"
