"","x"
"1","Adriano de Souza"
"2","Kelly Slater"
"3","Taj Burrow"
"4","Bede Durbidge"
"5","Julian Wilson"
"6","Heitor Alves"
"7","Michel Bourez"
"8","Joel Parkinson"
"9","Chris Davidson"
"10","Damien Hobgood"
"11","Freddy Patacchia Jr."
"12","John John Florence"
"13","Brett Simpson"
"14","Taylor Knox"
"15","Kai Otton"
"16","Gabriel Medina"
"17","Josh Kerr"
"18","Daniel Ross"
"19","Jordy Smith"
"20","Mick Fanning"
"21","Travis Logie"
"22","Dusty Payne"
"23","Matt Wilkinson"
"24","Owen Wright"
"25","Bruno Santos"
"26","Adam Melling"
"27","Alejo Muniz"
"28","Adrian Buchan"
"29","Tiago Pires"
"30","Kieren Perrow"
"31","Raoni Monteiro"
"32","Jadson Andre"
"33","Miguel Pupo"
"34","Patrick Gudauskas"
