"","x"
"1","Kelly Slater"
"2","Taj Burrow"
"3","Tiago Pires"
"4","Jordy Smith"
"5","Dusty Payne"
"6","Matt Wilkinson"
"7","Brett Simpson"
"8","Alejo Muniz"
"9","Adrian Buchan"
"10","Michel Bourez"
"11","Adriano de Souza"
"12","Joel Parkinson"
"13","Mick Fanning"
"14","Jadson Andre"
"15","Josh Kerr"
"16","Adam Melling"
"17","Heitor Alves"
"18","Matt Banting"
"19","Cory Lopez"
"20","Freddy Patacchia Jr."
"21","Daniel Ross"
"22","Owen Wright"
"23","Kai Otton"
"24","Julian Wilson"
"25","Bede Durbidge"
"26","Mitch Crews"
"27","Raoni Monteiro"
"28","Chris Davidson"
"29","Gabe Kling"
"30","Damien Hobgood"
"31","Kieren Perrow"
"32","C.J. Hobgood"
"33","Patrick Gudauskas"
"34","Taylor Knox"
"35","Bobby Martinez"
