"","x"
"1","Kelly Slater"
"2","John John Florence"
"3","Adrian Buchan"
"4","Gabriel Medina"
"5","Kolohe Andino"
"6","Bruno Santos"
"7","Josh Kerr"
"8","Julian Wilson"
"9","Jordy Smith"
"10","Keanu Asing"
"11","Jadson Andre"
"12","Joel Parkinson"
"13","Italo Ferreira"
"14","Adam Melling"
"15","Matt Banting"
"16","Alejo Muniz"
"17","Nat Young"
"18","Matt Wilkinson"
"19","Alex Ribeiro"
"20","Dusty Payne"
"21","Sebastian Zietz"
"22","Jeremy Flores"
"23","Kanoa Igarashi"
"24","Kai Otton"
"25","Hira Teriinatoofa"
"26","Adriano de Souza"
"27","Michel Bourez"
"28","Ryan Callinan"
"29","Caio Ibelli"
"30","Filipe Toledo"
"31","Wiggolly Dantas"
"32","Jack Freestone"
"33","Stuart Kennedy"
"34","Davey Cathels"
"35","Conner Coffin"
"36","Miguel Pupo"
