"","x"
"1","Adriano de Souza"
"2","John John Florence"
"3","Nat Young"
"4","Taj Burrow"
"5","Jay Davies"
"6","Michel Bourez"
"7","Julian Wilson"
"8","Kelly Slater"
"9","Jeremy Flores"
"10","Sebastian Zietz"
"11","Owen Wright"
"12","Josh Kerr"
"13","Jordy Smith"
"14","Kai Otton"
"15","Adam Melling"
"16","Joel Parkinson"
"17","Miguel Pupo"
"18","Mick Fanning"
"19","Ricardo Christie"
"20","Adrian Buchan"
"21","Freddy Patacchia Jr."
"22","Italo Ferreira"
"23","Jadson Andre"
"24","Glenn Hall"
"25","Gabriel Medina"
"26","Alejo Muniz"
"27","C.J. Hobgood"
"28","Filipe Toledo"
"29","Brett Simpson"
"30","Dusty Payne"
"31","Keanu Asing"
"32","Kolohe Andino"
"33","Bede Durbidge"
"34","Wiggolly Dantas"
"35","Matt Banting"
"36","Matt Wilkinson"
