"","x"
"1","Owen Wright"
"2","Matt Wilkinson"
"3","John John Florence"
"4","Gabriel Medina"
"5","Joel Parkinson"
"6","Italo Ferreira"
"7","Connor O'Leary"
"8","Kelly Slater"
"9","Adriano de Souza"
"10","Kolohe Andino"
"11","Conner Coffin"
"12","Jordy Smith"
"13","Jadson Andre"
"14","Stuart Kennedy"
"15","Jeremy Flores"
"16","Miguel Pupo"
"17","Caio Ibelli"
"18","Mikey Wright"
"19","Ezekiel Lau"
"20","Mick Fanning"
"21","Julian Wilson"
"22","Frederico Morais"
"23","Sebastian Zietz"
"24","Ian Gouveia"
"25","Michel Bourez"
"26","Nat Young"
"27","Filipe Toledo"
"28","Jack Freestone"
"29","Josh Kerr"
"30","Adrian Buchan"
"31","Leonardo Fioravanti"
"32","Joan Duru"
"33","Bede Durbidge"
"34","Ethan Ewing"
"35","Kanoa Igarashi"
"36","Wiggolly Dantas"
