"","x"
"1","John John Florence"
"2","Kolohe Andino"
"3","Jack Freestone"
"4","Filipe Toledo"
"5","Owen Wright"
"6","Michel Bourez"
"7","Adriano de Souza"
"8","Jordy Smith"
"9","Conner Coffin"
"10","Julian Wilson"
"11","Sebastian Zietz"
"12","Jeremy Flores"
"13","Kelly Slater"
"14","Miguel Pupo"
"15","Ian Gouveia"
"16","Kanoa Igarashi"
"17","Adrian Buchan"
"18","Jacob Willcox"
"19","Jesse Mendes"
"20","Caio Ibelli"
"21","Bede Durbidge"
"22","Joel Parkinson"
"23","Connor O'Leary"
"24","Nat Young"
"25","Gabriel Medina"
"26","Matt Wilkinson"
"27","Ezekiel Lau"
"28","Leonardo Fioravanti"
"29","Jadson Andre"
"30","Joan Duru"
"31","Josh Kerr"
"32","Ethan Ewing"
"33","Frederico Morais"
"34","Wiggolly Dantas"
"35","Mick Fanning"
"36","Stuart Kennedy"
