"","x"
"1","Mick Fanning"
"2","John John Florence"
"3","Josh Kerr"
"4","Julian Wilson"
"5","Jordy Smith"
"6","Kelly Slater"
"7","Gabriel Medina"
"8","Filipe Toledo"
"9","Alejo Muniz"
"10","Michel Bourez"
"11","Adriano de Souza"
"12","Wiggolly Dantas"
"13","Kolohe Andino"
"14","Dusty Payne"
"15","Italo Ferreira"
"16","Adrian Buchan"
"17","Sebastian Zietz"
"18","Matt Wilkinson"
"19","Adam Melling"
"20","Joel Parkinson"
"21","Miguel Pupo"
"22","Kanoa Igarashi"
"23","Caio Ibelli"
"24","Davey Cathels"
"25","Steven Sawyer"
"26","Alex Ribeiro"
"27","Kai Otton"
"28","Keanu Asing"
"29","Ryan Callinan"
"30","Nat Young"
"31","Matt Banting"
"32","Jadson Andre"
"33","Conner Coffin"
"34","Jeremy Flores"
"35","Jack Freestone"
"36","Stuart Kennedy"
