"","x"
"1","Mick Fanning"
"2","Joel Parkinson"
"3","Matt Wilkinson"
"4","Owen Wright"
"5","Adriano de Souza"
"6","Taj Burrow"
"7","Gabriel Medina"
"8","Alejo Muniz"
"9","Josh Kerr"
"10","Kolohe Andino"
"11","C.J. Hobgood"
"12","Freddy Patacchia Jr."
"13","Adam Melling"
"14","Miguel Pupo"
"15","Adrian Buchan"
"16","Sebastian Zietz"
"17","Julian Wilson"
"18","Kelly Slater"
"19","Aritz Aranburu"
"20","John John Florence"
"21","Nat Young"
"22","Kai Otton"
"23","Jordy Smith"
"24","Michel Bourez"
"25","Brett Simpson"
"26","Raoni Monteiro"
"27","Glenn Hall"
"28","Bede Durbidge"
"29","Dion Atkinson"
"30","Filipe Toledo"
"31","Tiago Pires"
"32","Jadson Andre"
"33","Jeremy Flores"
"34","Travis Logie"
"35","Mitch Crews"
